no,profile_name,profile_link,id,profile_affiliations,profile_email,profile_cited_by_count,profile_interests,oldest_year,latest_year,num_publications,total_cites,h_index,i10_index,total_cites_since2019,h_index_since2019,i10_index_since2019
6401,Sean P. Goggins,https://scholar.google.com/citations?hl=en&user=TgCRu2wAAAAJ,TgCRu2wAAAAJ,"Professor, University of Missouri",Verified email at goggins.com,2843,"computational social science, open source software, social computing, social network analysis, sociotechnical odor",,,,,,,,,
6402,Kee-Young Kwahk,https://scholar.google.com/citations?hl=en&user=4h3V-YsAAAAJ,4h3V-YsAAAAJ,"Professor of MIS, Kookmin University",Verified email at kookmin.ac.kr,2824,"management information systems, data analytics, social network analysis",,,,,,,,,
6403,Tsair-Wei Chien(錢才瑋),https://scholar.google.com/citations?hl=en&user=G4Sh99YAAAAJ,G4Sh99YAAAAJ,"Associate Professor, Chi-Mei Medical Center, Taiwan",Verified email at mail.chimei.org.tw,2818,"PaperABC, Rasch Measurement, MS Excel programming, Google Maps, Social network analysis",,,,,,,,,
6404,Marco Guerini,https://scholar.google.com/citations?hl=en&user=dt-Fys0AAAAJ,dt-Fys0AAAAJ,Fondazione Bruno Kessler,Verified email at fbk.eu,2816,"Artificial Intelligence, Natural Language Processing, Persuasive Technologies, Social Network Analysis",,,,,,,,,
6405,Gijs Huitsing,https://scholar.google.com/citations?hl=en&user=NFZRctEAAAAJ,NFZRctEAAAAJ,"Assistant Professor, University of Groningen",Verified email at rug.nl,2813,"Bullying, Victimization, Social network analysis, Network Interventions",,,,,,,,,
6406,Anamika Barman-Adhikari,https://scholar.google.com/citations?hl=en&user=hLT9AkAAAAAJ,hLT9AkAAAAAJ,"Associate Professor, University of Denver",Verified email at du.edu,2785,"HIV Prevention, Drug Use Prevention, Technology for Health, Social Network Analysis",,,,,,,,,
6407,Kathy Lee,https://scholar.google.com/citations?hl=en&user=hwNRbkQAAAAJ,hwNRbkQAAAAJ,"Senior Lead Scientist, Novo Nordisk",Verified email at novonordisk.com,2784,"Natural Language Processing, Aritificial Intelligence, Machine Learning, Clinical Informatics, Social Network Analysis",,,,,,,,,
6408,Giancarlo Sperlì,https://scholar.google.com/citations?hl=en&user=HInMnoQAAAAJ,HInMnoQAAAAJ,"University of Naples ""Federico II""",Verified email at unina.it,2780,"Big Data, Social Network Analysis, Multimedia Knowledge Management",,,,,,,,,
6409,Reza Yousefi Nooraie,https://scholar.google.com/citations?hl=en&user=q0DgJGUAAAAJ,q0DgJGUAAAAJ,"Associate Professor, Department of Public Health Sciences, University of Rochester",Verified email at urmc.rochester.edu,2774,"social network analysis, implementation science, mixed methods research",,,,,,,,,
6410,Alvaro Ortigosa,https://scholar.google.com/citations?hl=en&user=0hT_yZIAAAAJ,0hT_yZIAAAAJ,"Profesor del Departamento de Ingeniería Informática, Universidad Autónoma de Madrid",Verified email at uam.es,2760,"User modeling, sentiment analysis, cibersecurity, social network analysis, open source intelligence",,,,,,,,,
6411,Dimitrina (Dima) Dimitrova,https://scholar.google.com/citations?hl=en&user=f1G7854AAAAJ,f1G7854AAAAJ,York University,Verified email at yorku.ca,2745,"social network analysis, scholarly networks, CoP, organizations, workplace",,,,,,,,,
6412,Aimei Yang,https://scholar.google.com/citations?hl=en&user=rSgJrPUAAAAJ,rSgJrPUAAAAJ,"Associate Professor, University of Southern California",Verified email at usc.edu,2741,"Social network analysis, public relations, civil society",,,,,,,,,
6413,Prof.(Dr.) Anuja Arora,https://scholar.google.com/citations?hl=en&user=Uz_ML8cAAAAJ,Uz_ML8cAAAAJ,"Professor, Dept of CSE and IT, Jaypee Institute of information technology",Verified email at jiit.ac.in,2691,"Deep Learning, Artificial Neural Network, Social Network analysis, Social Media Analysis and Mining",,,,,,,,,
6414,Mehmet Kaya,https://scholar.google.com/citations?hl=en&user=eJI7ul4AAAAJ,eJI7ul4AAAAJ,"Professor of Computer Engineering, Firat University",Verified email at firat.edu.tr,2687,"Data Mining, Machine Learning, Data Science, Social Network Analysis, Large Language Models",,,,,,,,,
6415,Romina Cachia,https://scholar.google.com/citations?hl=en&user=rj0n8U8AAAAJ,rj0n8U8AAAAJ,"University of Malta, Joint Research Centre",Verified email at um.edu.mt,2686,"Social network analysis, new media, misinformation, creativity in education, mobility",,,,,,,,,
6416,"Dr. Wasim Ahmed, PhD",https://scholar.google.com/citations?hl=en&user=JduIcrAAAAAJ,JduIcrAAAAAJ,Senior Lecturer in Marketing,Verified email at hull.ac.uk,2685,"Marketing, Disinformation, Social Media, Social Network Analysis, Analytics",,,,,,,,,
6417,Mohammad-Reza Feizi-Derakhshi,https://scholar.google.com/citations?hl=en&user=9dAwr2EAAAAJ,9dAwr2EAAAAJ,"Full Professor of Computer Engineering, University of Tabriz",Verified email at tabrizu.ac.ir,2676,"Natural Language Processing, Deep Learning, Social Network Analysis, Optimization, Database",,,,,,,,,
