no,profile_name,profile_link,id,profile_affiliations,profile_email,profile_cited_by_count,profile_interests,oldest_year,latest_year,num_publications,total_cites,h_index,i10_index,total_cites_since2019,h_index_since2019,i10_index_since2019
1,Ricky Leung,https://scholar.google.com/citations?hl=en&user=wTuogtwAAAAJ,wTuogtwAAAAJ,University at Albany,Verified email at albany.edu,47864,"Technological Innovation, Health Information Technology, Health Analytics, Organization and Management Theory, Global Health",1975,2023,100,47864,36,47,34658,28,40
2,Hardeep Singh,https://scholar.google.com/citations?hl=en&user=quszY0gAAAAJ,quszY0gAAAAJ,"Professor, Baylor College of Medicine and Chief, Health Policy, Quality, and Informatics …",Verified email at bcm.edu,21459,"Health Information Technology, Reducing Diagnostic Errors, … Patient Safety through the Electronic Health …",1951,2024,648,21459,78,255,13334,59,233
3,Catherine M. DesRoches,https://scholar.google.com/citations?hl=en&user=0Lzgu5gAAAAJ,0Lzgu5gAAAAJ,"Executive Director, OpenNotes; Associate Professor of Medicine, Harvard Medical School",Verified email at bidmc.harvard.edu,20562,"Health Information Technology, OpenNotes, Health Care Workforce",1998,2024,231,20562,63,140,7437,44,104
4,Jeffrey Linder,https://scholar.google.com/citations?hl=en&user=oMaghoAAAAAJ,oMaghoAAAAAJ,Northwestern University Feinberg School of Medicine,Verified email at northwestern.edu,15331,"Ambulatory care, health information technology, antibiotic prescribing, behavioral economics",1999,2024,332,15331,53,132,8693,44,107
5,Daniel C Malone,https://scholar.google.com/citations?hl=en&user=ACzpckMAAAAJ,ACzpckMAAAAJ,"Professor of Pharmacy, University of Utah",Verified email at utah.edu,14257,"Drug Interactions, Health Information Technology, Pharmaceutical Services, Pharmacoeconomics",1993,2024,556,14257,56,204,5964,40,137
6,Richard J. Holden,https://scholar.google.com/citations?hl=en&user=WH6emMQAAAAJ,WH6emMQAAAAJ,"Professor of Health & Wellness Design, Indiana University School of Public Health …",Verified email at iu.edu,14243,"Human Factors, Healthcare Quality and Safety, Health Information Technology",2006,2024,256,14243,49,141,8798,42,128
7,Aaron Lyon,https://scholar.google.com/citations?hl=en&user=FIBPXCUAAAAJ,FIBPXCUAAAAJ,University of Washington,Verified email at uw.edu,11062,"implementation science, mental health services, school mental health, human-centered design, health information technology",2005,2024,246,11062,53,135,9243,49,130
8,Julia Adler-Milstein,https://scholar.google.com/citations?hl=en&user=eC-ioP8AAAAJ,eC-ioP8AAAAJ,UCSF,Verified email at ucsf.edu,10379,"Health information technology, health policy",2004,2024,340,10379,52,139,6509,41,122
9,Steven Simon,https://scholar.google.com/citations?hl=en&user=jIzuZr4AAAAJ,jIzuZr4AAAAJ,"Professor in Residence and Associate Dean for Veterans Affairs, David Geffen School of …",Verified email at partners.org,10077,"interventions to improve quality of care and …, health information technology, medical education",1978,2024,276,10084,56,146,3396,30,90
10,Paul C. Tang,https://scholar.google.com/citations?hl=en&user=PeRJToQAAAAJ,PeRJToQAAAAJ,Stanford University,Verified email at stanford.edu,9599,"Medical informatics, AI, LLM, health information technology, electronic health records",1991,2023,107,9599,37,52,2767,19,30
11,Peter Hoonakker,https://scholar.google.com/citations?hl=en&user=zRJA6IAAAAAJ,zRJA6IAAAAAJ,University of Wisconsin-Madison,Verified email at wisc.edu,9273,"Health Information Technology, Quality of Care, Patient Safety",1993,2024,232,9273,42,101,5497,35,80
12,"Jan Walker, JD Walker",https://scholar.google.com/citations?hl=en&user=rMC2lVUAAAAJ,rMC2lVUAAAAJ,"Beth Israel Deaconess Medical Center, Harvard Medical School",Verified email at bidmc.harvard.edu,9125,"patient experience, OpenNotes, health information technology",1883,2024,143,9125,43,83,3816,33,66
13,John W. Beasley,https://scholar.google.com/citations?hl=en&user=PvE64OcAAAAJ,PvE64OcAAAAJ,"Professor of Family Medicine, University of Wisconsin",Verified email at fammed.wisc.edu,7758,"Primary Care, Health Information Technology, Practice-Based Research Networks",1968,2012,29,7758,20,24,892,11,12
14,Duwayne Willett,https://scholar.google.com/citations?hl=en&user=Btc7Az0AAAAJ,Btc7Az0AAAAJ,"CMIO, Professor of Internal Medicine, University of Texas Southwestern Medical Center",Verified email at UTSouthwestern.edu,7061,"Medical Informatics, Clinical Decision Support, Business Intelligence, Population Health, Health Information Technology",1994,2024,115,7061,31,47,3550,22,40
15,Eyal Zimlichman,https://scholar.google.com/citations?hl=en&user=5RJihJEAAAAJ,5RJihJEAAAAJ,Sheba Medical Center,Verified email at sheba.gov.il,6124,"Health care management, quality of healthcare, patient safety, health information technology, innovation",1997,2024,202,6124,36,78,3834,30,56
16,"Joshua R Vest, PhD, MPH",https://scholar.google.com/citations?hl=en&user=eskRXSkAAAAJ,eskRXSkAAAAJ,Indiana University Richard M. Fairbanks School of Public Health at Indianapolis,Verified email at iu.edu,6047,"Health information technology, organizational theory, public health, health information exchange, health policy & management",2002,2024,196,6047,37,84,2846,27,64
17,Milisa Manojlovich,https://scholar.google.com/citations?hl=en&user=ysnLXv4AAAAJ,ysnLXv4AAAAJ,Professor of Nursing,Verified email at umich.edu,5244,"communication, health information technology, patient safety",2002,2024,137,5244,31,65,2305,27,55
18,Joy L. Lee,https://scholar.google.com/citations?hl=en&user=KaL_uTAAAAAJ,KaL_uTAAAAAJ,"Assistant Professor, UMass Chan Medical School",Verified email at umassmed.edu,4713,"electronic communication, patient portals, quality of care, patient-provider communication, health information technology",2008,2020,28,4713,21,23,1939,20,23
19,Spencer S. Jones,https://scholar.google.com/citations?hl=en&user=JOrIsmEAAAAJ,JOrIsmEAAAAJ,HealthFirst,Verified email at healthfirst.org,4700,"Machine Learning, Health Information Technology, electronic health records",2005,2024,51,4700,26,32,1952,17,26
20,Vaishali Patel,https://scholar.google.com/citations?hl=en&user=l3Qpk9sAAAAJ,l3Qpk9sAAAAJ,Office of the National Coordinator for Health Information Technology,Verified email at hhs.gov,4678,"health information technology, interoperability, electronic health records",2007,2024,130,4682,34,59,2709,26,46
21,Raj M. Ratwani,https://scholar.google.com/citations?hl=en&user=3zzClV8AAAAJ,3zzClV8AAAAJ,"National Center for Human Factors in Healthcare, MedStar Health",Verified email at medstar.net,4601,"healthcare safety, health information technology, human error, visualization",2004,2024,235,4601,35,95,3459,30,82
22,Jeffrey McCullough,https://scholar.google.com/citations?hl=en&user=9yRpfjEAAAAJ,9yRpfjEAAAAJ,University of Michigan,Verified email at umich.edu,4424,"Health Economics, Health Information Technology, Pharmaceutical Industry, Antitrust, Machine Learning",1998,2024,137,4424,28,51,2622,22,40
23,Thomas A Horan,https://scholar.google.com/citations?hl=en&user=2aFmaaAAAAAJ,2aFmaaAAAAAJ,"Dean, School of Business, University of Redlands",Verified email at redlands.edu,4273,"Technology Innovation, Health Information Technology",1989,2021,224,4273,28,69,1102,14,22
24,Jun Sun (孙钧),https://scholar.google.com/citations?hl=en&user=F1-jgm0AAAAJ,F1-jgm0AAAAJ,University of Texas Rio Grande Valley,Verified email at utrgv.edu,3686,"mobile commerce, wireless application, health information technology, electronic learning",2003,2024,118,3686,27,52,2762,23,40
25,"Neset Hikmet, Ph.D.",https://scholar.google.com/citations?hl=en&user=3DwchWAAAAAJ,3DwchWAAAAAJ,"College of Engineering and Computing, University of South Carolina",Verified email at cec.sc.edu,3568,"Health Information Technology, Health Informatics, Information Systems",1983,2024,81,3568,25,34,1805,17,24
26,Ronen Rozenblum,https://scholar.google.com/citations?hl=en&user=ONXidPQAAAAJ,ONXidPQAAAAJ,Harvard Medical School,Verified email at bwh.harvard.edu,3545,"Patient-centered care, patient experience, patient engagement, health information technology, Innovation",2007,2024,111,3545,33,55,2338,28,51
27,Neil Busis,https://scholar.google.com/citations?hl=en&user=vWyfkxkAAAAJ,vWyfkxkAAAAJ,"Associate Chair, Technology and Innovation, Department of Neurology, NYU Langone …",Verified email at nyulangone.org,3518,"telemedicine, physician burnout and well-being, billing and coding, health information technology",1976,2024,122,3518,30,47,1423,14,18
28,Bengisu Tulu,https://scholar.google.com/citations?hl=en&user=VTR-Id8AAAAJ,VTR-Id8AAAAJ,"Professor of Information Technology, Worcester Polytechnic Institute",Verified email at wpi.edu,3184,"Health Information Technology, Mobile Health, eHealth, telehealth",2003,2024,160,3184,26,57,1974,17,31
29,Nicolas Terry,https://scholar.google.com/citations?hl=en&user=PFmB2IsAAAAJ,PFmB2IsAAAAJ,Indiana University Robert H. McKinney School of Law,Verified email at iu.edu,3158,"Health Law, Health Policy, Health Privacy, Health Quality, Health Information Technology",1980,2023,154,3158,31,58,1153,17,24
30,Sachin H. Jain,https://scholar.google.com/citations?hl=en&user=-8AH6XcAAAAJ,-8AH6XcAAAAJ,"CEO, SCAN Group; Adjunct Professor, Stanford",Verified email at post.harvard.edu,3134,"Health Care Policy and Implementation, Care Delivery Innovation, Health Information Technology",2004,2024,143,3134,28,53,1679,20,36
31,"Zachary Grinspan, MD MS",https://scholar.google.com/citations?hl=en&user=SUyjJS0AAAAJ,SUyjJS0AAAAJ,"Department of Population Health Sciences and Department of Pediatrics, Weill Cornell …",Verified email at med.cornell.edu,2894,"Pediatric Neurology, Epilepsy, Health Services, Health Information Technology, Pediatric ICU",2004,2024,157,2894,31,68,2175,27,58
32,Lukasz Mazur,https://scholar.google.com/citations?hl=en&user=7LT7_IMAAAAJ,7LT7_IMAAAAJ,University of North Carolina,Verified email at med.unc.edu,2833,"healthcare quality and safety, health information technology, simulation-based training, healthcare engineering management",2005,2024,177,2833,23,46,1611,20,37
33,Güneş  Koru,https://scholar.google.com/citations?hl=en&user=XLJHQagAAAAJ,XLJHQagAAAAJ,"Professor, University of Arkansas for Medical Sciences",Verified email at uams.edu,2810,"Public health informatics, health information technology, software engineering, health information privacy and security, data an",1998,2024,97,2810,24,35,849,15,22
34,Yulong Gu,https://scholar.google.com/citations?hl=en&user=cXccUNgAAAAJ,cXccUNgAAAAJ,"Associate Professor of Health Science, Stockton University",Verified email at stockton.edu,2702,"health informatics, health information technology, electronic health records, eHealth",2004,2024,75,2702,13,18,1547,11,12
35,Mark Sendak,https://scholar.google.com/citations?hl=en&user=U0kHK8wAAAAJ,U0kHK8wAAAAJ,"Population Health & Data Science Lead, Duke Institute for Health Innovation",Verified email at duke.edu,2646,"health innovation, data quality, health policy, machine learning for healthcare, health information technology",2016,2024,88,2646,20,27,2599,20,26
36,"Peiyin Hung, PhD, MSPH",https://scholar.google.com/citations?hl=en&user=jflmPhAAAAAJ,jflmPhAAAAAJ,"Associate Professor, University of South Carolina Arnold School of Public Health",Verified email at mailbox.sc.edu,2643,"Obstetrics, Rural Health, Health Information Technology, Quality of Care",1990,2024,181,2643,24,41,2352,23,39
37,Aaron Zachary Hettinger,https://scholar.google.com/citations?hl=en&user=7X3AsTIAAAAJ,7X3AsTIAAAAJ,"Assistant Professor of Emergency Medicine, Georgetown University School of Medicine",Verified email at georgetown.edu,2566,"Emergency Medicine, Health Information Technology, Patient Safety, Human Factors",2009,2024,114,2566,28,48,1954,21,43
38,"Professor Sima Ajami, Ph.D",https://scholar.google.com/citations?hl=en&user=xJM2FHkAAAAJ,xJM2FHkAAAAJ,Isfahan University of Medical Sciences,,2557,"Health Information Technology, Mobile Health, Smart bed, Lean MGT, Process MGT",2004,2024,117,2557,24,49,1395,17,31
39,Cynthia Sieck,https://scholar.google.com/citations?hl=en&user=J4zV-7YAAAAJ,J4zV-7YAAAAJ,The Ohio State University,Verified email at osumc.edu,2331,"health services research, patient engagement, health information technology, patient-reported outcomes",1956,2024,115,2331,26,51,1920,22,45
40,Jiban Khuntia,https://scholar.google.com/citations?hl=en&user=RCPGZPMAAAAJ,RCPGZPMAAAAJ,Associate Professor,Verified email at ucdenver.edu,2176,"Information Systems, Health Information Technology, Digital Service Innovation, Sustainability",2004,2024,162,2176,25,56,1901,22,50
41,Roseanne O Yeung,https://scholar.google.com/citations?hl=en&user=iw4eM74AAAAJ,iw4eM74AAAAJ,"Associate Professor, Division of Endocrinology and Metabolism, University of Alberta",Verified email at ualberta.ca,2135,"diabetes, health information technology, diabetes care delivery, peer support, health care utilization",2010,2024,102,2135,19,31,1751,18,29
42,Sunit Jariwala,https://scholar.google.com/citations?hl=en&user=qRjyGa8AAAAJ,qRjyGa8AAAAJ,Albert Einstein College of Medicine and Montefiore Medical Center,Verified email at montefiore.org,2103,"asthma, health information technology, mobile applications",2006,2024,233,2103,20,35,1323,18,29
43,Farkhondeh Asadi,https://scholar.google.com/citations?hl=en&user=fldXkjcAAAAJ,fldXkjcAAAAJ,"Professor of Health Information Management ,School of Allied Medical Sciences,Shahid",Verified email at sbmu.ac.ir,2006,"Health Information Systems, Medical Informatics, Machine Learning, Health Information Technology",2000,2024,244,2006,24,48,1653,21,37
44,Genna R. Cohen,https://scholar.google.com/citations?hl=en&user=nN9PW7wAAAAJ,nN9PW7wAAAAJ,Mathematica,Verified email at mathematica-mpr.com,1949,"health information technology, health policy, physician practices",2008,2024,73,1949,20,30,770,14,20
45,Kim M. Unertl,https://scholar.google.com/citations?hl=en&user=ChmGPRLg9WwJ,ChmGPRLg9WwJ,"Associate Professor of Biomedical Informatics, Vanderbilt University",Verified email at vanderbilt.edu,1941,"biomedical informatics, health information technology, qualitative methods, workflow, chronic disease",2006,2023,50,1941,17,25,933,14,19
46,Margo Edmunds,https://scholar.google.com/citations?hl=en&user=6sjFXhQAAAAJ,6sjFXhQAAAAJ,AcademyHealth,Verified email at academyhealth.org,1917,"Health Policy, Health Information Technology, Access to Health Care",1979,2024,99,1917,15,25,1359,12,13
47,Scott Monteith,https://scholar.google.com/citations?hl=en&user=zaYmDnYAAAAJ,zaYmDnYAAAAJ,Michigan State University,Verified email at msu.edu,1897,Health Information Technology,2013,2024,47,1897,25,35,1478,22,34
48,Valerie A. Yeager,https://scholar.google.com/citations?hl=en&user=5pf2P4gAAAAJ,5pf2P4gAAAAJ,"Professor, IU Fairbanks School of Public Health",Verified email at iu.edu,1849,"Public Health Services and Systems, Health Care Quality, Health Information Technology, Public Health Partnerships",2008,2024,142,1849,24,54,1409,21,44
49,Hamid Moghaddasi,https://scholar.google.com/citations?hl=en&user=142HKv4AAAAJ,142HKv4AAAAJ,"Professor of  Department of Health Information Technology & Management, School of Allied",Verified email at sbmu.ac.ir,1808,"Medical Informatics, Health Information Management, Health Information Technology",1994,2024,338,1808,24,50,958,16,33
50,"Magaly Ramirez, PhD, MS, MS",https://scholar.google.com/citations?hl=en&user=xAnX7MoAAAAJ,xAnX7MoAAAAJ,"University of Washington School of Public Health, Department of Health Systems and …",Verified email at uw.edu,1801,"Health Information Technology, Health Services Research, Learning Health Systems, Health Disparities",1984,2024,45,1801,11,15,1090,11,14
51,Elham Monaghesh,https://scholar.google.com/citations?hl=en&user=zea6uSYAAAAJ,zea6uSYAAAAJ,"Ph.D Student, Tabriz University of Medical Sciences",Verified email at tbzmed.ac.ir,1780,"virtual reality, telehealth, health information technology, mobile health",2015,2024,31,1780,7,6,1769,7,6
52,Neal Yuan,https://scholar.google.com/citations?hl=en&user=CulluAgAAAAJ,CulluAgAAAAJ,"UCSF, San Francisco VA",Verified email at ucsf.edu,1642,"general cardiology, health services research, health information technology, electronic health",2013,2024,53,1642,18,25,1619,17,25
53,Tana M. Luger,https://scholar.google.com/citations?hl=en&user=pik9GucAAAAJ,pik9GucAAAAJ,Greater Los Angeles VA,Verified email at va.gov,1633,"health information technology, health behavior change, healthcare outcomes and analytics",2009,2024,46,1633,20,24,1100,18,23
54,Anne Marie Kanstrup,https://scholar.google.com/citations?hl=en&user=lzeqUdoAAAAJ,lzeqUdoAAAAJ,Aalborg University,Verified email at plan.aau.dk,1593,"Participatory design, Interaction Design, Health Information Technology",1974,2024,165,1593,21,45,820,15,26
55,Natalie (Nat) Benda,https://scholar.google.com/citations?hl=en&user=5hEeLhsAAAAJ,5hEeLhsAAAAJ,Columbia University,Verified email at cumc.columbia.edu,1592,"Human Factors, Health equity, Health information technology, Health literacy",2013,2024,89,1592,17,27,1371,16,27
56,Ali Garavand,https://scholar.google.com/citations?hl=en&user=Y5-XBAIAAAAJ,Y5-XBAIAAAAJ,"PhD in Health Information Management, Lorestan University of Medical Sciences",Verified email at lums.ac.ir,1571,"Health Information Technology, Health Information Management, Health Informatics",2015,2024,98,1571,18,29,1459,17,27
57,Ilene L. Hollin,https://scholar.google.com/citations?hl=en&user=05YJyMcAAAAJ,05YJyMcAAAAJ,Temple University College of Public Health,Verified email at temple.edu,1530,"patient preferences, patient-centered outcomes, rare diseases, drug development, health information technology",2010,2024,56,1530,17,22,925,15,18
58,Ester Gonzalez,https://scholar.google.com/citations?hl=en&user=FYzj6QMAAAAJ,FYzj6QMAAAAJ,"Assistant Professor, California State University Fullerton",Verified email at fullerton.edu,1470,"internal social media, health information technology, socialization, enterprise 2.0",1986,2024,34,1470,12,13,1004,10,10
59,Caroline P. Thirukumaran,https://scholar.google.com/citations?hl=en&user=2jCmSkUAAAAJ,2jCmSkUAAAAJ,University of Rochester,Verified email at urmc.rochester.edu,1434,"Health policy, surgical outcomes, disparities, opioids, health information technology",2015,2024,76,1434,19,37,1341,19,37
60,Hani Safadi,https://scholar.google.com/citations?hl=en&user=OUWTJoMAAAAJ,OUWTJoMAAAAJ,"Associate Professor, The University of Georgia",Verified email at uga.edu,1431,"Health Information Technology, Social Networks, Natural Language Processing",2006,2024,51,1431,11,11,1195,10,10
61,"Scott M. Strayer, MD, MPH",https://scholar.google.com/citations?hl=en&user=Zl-z55MAAAAJ,Zl-z55MAAAAJ,"Professor of Family Medicine and Population Health, Virginia Commonwealth University",Verified email at vcuhealth.org,1375,"Smoking cessation, Obesity, Behavior Change, Health Information Technology",1998,2024,97,1375,19,28,557,13,16
62,Jeremy Pamplin,https://scholar.google.com/citations?hl=en&user=nD5ZUxMAAAAJ,nD5ZUxMAAAAJ,Telemedicine and Advanced Technology Research Center,Verified email at mail.mil,1325,"Telemedicine, Combat Casualty Care, Health Information Technology, Resource Limited Healthcare, Critical Care",1975,2024,116,1325,22,35,1036,19,30
63,Michael W. Smith,https://scholar.google.com/citations?hl=en&user=AvG6b8gAAAAJ,AvG6b8gAAAAJ,Mile Two,Verified email at teamraft.com,1245,"Cognitive Systems Engineering, Health Information Technology, Patient Safety, Resilience Engineering",1999,2023,35,1245,13,14,469,10,11
64,Saurabh Rahurkar,https://scholar.google.com/citations?hl=en&user=ukVwaOgAAAAJ,ukVwaOgAAAAJ,"The Ohio State University College of Medicine, Department of Biomedical Informatics",Verified email at osumc.edu,1135,"Health Information Technology, Health Services Research, Real-World Evidence, Pharmacoepidemiology",2012,2024,52,1135,12,14,766,12,14
65,Mohammad I. Merhi,https://scholar.google.com/citations?hl=en&user=g30FpCgAAAAJ,g30FpCgAAAAJ,Indiana University South Bend,Verified email at iu.edu,1134,"Information Systems Security Management, Technology Implementation, Health Information Technology",2010,2024,57,1134,17,25,985,14,22
66,Leigh Warren,https://scholar.google.com/citations?hl=en&user=gUjeJdkAAAAJ,gUjeJdkAAAAJ,"SA Health, University of Adelaide, Imperial College London",Verified email at sa.gov.au,1107,"Surgery, Health Information Technology",2012,2024,41,1107,13,13,1082,13,13
67,Hadi Lotfnezhad Afshar,https://scholar.google.com/citations?hl=en&user=9-ZytI8AAAAJ,9-ZytI8AAAAJ,"Department of Health Information Technology, School of Paramedicine, Urmia University of …",Verified email at umsu.ac.ir,1095,"data scientist, health information technology",2007,2023,35,1095,13,17,978,10,12
68,Yan Luo,https://scholar.google.com/citations?hl=en&user=rsez7zAAAAAJ,rsez7zAAAAAJ,Social Science Research Institute at the University of Hawaiʻi at Mānoa,Verified email at hawaii.edu,1054,"Health disparity, social determinants of health, health information technology, oncological and gerontological social work",2015,2023,20,1054,9,7,905,9,7
69,JB Jones,https://scholar.google.com/citations?hl=en&user=tTJlTs0AAAAJ,tTJlTs0AAAAJ,Interim Executive Director & Senior Investigator; Center for Health System Research,Verified email at sutterhealth.org,1047,"shared decision making, health outcomes, health services research, health information technology, EHR audit log",2007,2023,35,1047,13,15,488,10,10
70,Bernard Han,https://scholar.google.com/citations?hl=en&user=hQXPYNQAAAAJ,hQXPYNQAAAAJ,Western Michigan University,Verified email at wmich.edu,1013,"Information systems, Health Information Technology, Health care management",1987,2024,70,1013,17,20,344,11,12
71,Jordan Everson,https://scholar.google.com/citations?hl=en&user=txQ6HCwAAAAJ,txQ6HCwAAAAJ,"Assistant Professor, Vanderbilt University School of Medicine",Verified email at vanderbilt.edu,1009,"Healthcare Organization Theory, Health Information Technology, Social Network Analysis",2012,2024,87,1009,18,29,830,17,28
72,Anjum Khurshid,https://scholar.google.com/citations?hl=en&user=y8lgql4AAAAJ,y8lgql4AAAAJ,Harvard Pilgrim Health Care Institute/Harvard Medical School,Verified email at hphci.harvard.edu,1001,"health information technology, population health, health policy",1997,2024,74,1001,13,22,832,11,15
73,Dori A. Cross,https://scholar.google.com/citations?hl=en&user=O_Dnj8kAAAAJ,O_Dnj8kAAAAJ,University of Minnesota School of Public Health,Verified email at umn.edu,986,"Health information technology, care coordination, care delivery reform, team-based care",2010,2024,82,986,17,25,702,15,22
74,Morteza Hemmat,https://scholar.google.com/citations?hl=en&user=N6Ve0FMAAAAJ,N6Ve0FMAAAAJ,"PhD of Health Information Management, Saveh University of Medical sciences",Verified email at savehums.ac.ir,949,"Health Information Technology, Health Information Management, Information Science, Foresight, Scientometrics",2011,2024,64,949,19,27,875,19,23
75,Colene Byrne,https://scholar.google.com/citations?hl=en&user=6_rgvYIAAAAJ,6_rgvYIAAAAJ,,Verified email at westat.com,933,"Health Information Technology, Health Information Exchange, Long-Term and Post-Acute Care",1991,2019,40,933,13,15,287,8,7
76,Charlyn A. Hilliman,https://scholar.google.com/citations?hl=en&user=9DXQgBUAAAAJ,9DXQgBUAAAAJ,Capella University,Verified email at capella.edu,917,"Criminal Justice, Cybercrime, Data Security, Health Information Technology",2003,2013,11,917,7,6,186,5,3
77,Elizabeth A. Regan,https://scholar.google.com/citations?hl=en&user=pQuX8m0AAAAJ,pQuX8m0AAAAJ,"Chair, Integrated Information Technology and Professor of Health IT",Verified email at mailbox.sc.edu,883,"health information technology, clinical innovation, large-scale organizational change, IT innovation",1982,2022,40,883,10,10,265,6,5
78,Zohreh Javanmard,https://scholar.google.com/citations?hl=en&user=dMt1ll8AAAAJ,dMt1ll8AAAAJ,"Ph.D. Student in Health Information Management, Tehran University of Medical Sciences",Verified email at razi.tums.ac.ir,848,"Health Information Management, Health Information Technology, Medical Informatics, Health Data",2020,2024,29,848,3,2,846,3,2
79,Ahmad Z Al Meslamani,https://scholar.google.com/citations?hl=en&user=usUecnoAAAAJ,usUecnoAAAAJ,"College of Pharmacy, Al Ain University, Abu Dhabi, United Arab Emirates",Verified email at aau.ac.ae,842,"Drug Safety, Pharmacotherapy, Health Information Technology",2019,2024,107,842,17,24,838,17,24
80,Cara Litvin,https://scholar.google.com/citations?hl=en&user=r9vJFgcAAAAJ,r9vJFgcAAAAJ,Medical University of South Carolina,Verified email at musc.edu,810,"quality improvement, health information technology",2001,2024,37,810,14,16,335,9,9
81,sakineh saghaeiannejad -Isfahani,https://scholar.google.com/citations?hl=en&user=dZ1oXKcAAAAJ,dZ1oXKcAAAAJ,"Assistant professor, HIT.RC, Isfahan university of medical sciences",Verified email at mng.mui.ac.ir,758,"health information technology, health information management, classification of disease",2005,2025,73,758,16,26,409,10,11
82,"April Savoy,PhD",https://scholar.google.com/citations?hl=en&user=xCHKo44AAAAJ,xCHKo44AAAAJ,"Purdue University School of Industrial Engineering, Richard L. Roudebush VA, Regenstrief …",Verified email at iu.edu,747,"Healthcare Human factors engineering, Care Coordination, Health Information Technology",2007,2024,58,747,12,14,398,11,12
83,Aparna Ashok DMD MDS (Endodontics),https://scholar.google.com/citations?hl=en&user=egbVbQIAAAAJ,egbVbQIAAAAJ,"School of Dental Medicine, Southern Illinois University",Verified email at siue.edu,672,"Dentistry, Endodontics, Conservative Dentistry, Health Information Technology",2012,2017,8,672,7,7,555,7,7
84,"Giridhar Reddy Bojja, Ph.D.",https://scholar.google.com/citations?hl=en&user=OjJbtR0AAAAJ,OjJbtR0AAAAJ,Michigan Technological University,Verified email at mtu.edu,668,"Health Information Technology, IS Business Value, Medical Image Processing, Social network analysis",2018,2025,32,668,15,17,668,15,17
85,Jessica L. (Howe) Handley,https://scholar.google.com/citations?hl=en&user=_KX3MiAAAAAJ,_KX3MiAAAAAJ,"National Center for Human Factors in Healthcare, MedStar Health",Verified email at medstar.net,664,"Human Factors, Healthcare Safety, Health Information Technology",2011,2023,49,664,12,15,612,11,13
86,Mohamad Jebraeily,https://scholar.google.com/citations?hl=en&user=c1U_5swAAAAJ,c1U_5swAAAAJ,"Department of Health Information Technology, Urmia University of",Verified email at umsu.ac.ir,659,"Health Information Technology, Health Information Systems, Dashboard, Smartphone Apps, Health",2009,2024,76,659,16,25,435,12,18
87,Steven Bisch,https://scholar.google.com/citations?hl=en&user=55glIdcAAAAJ,55glIdcAAAAJ,The University of Calgary,Verified email at albertahealthservices.ca,652,"Enhanced Recovery After Surgery, perioperative quality improvement, health information technology, perioperative anemia, periope",2010,2024,32,652,10,10,610,9,9
88,Heshmatollah Asadi,https://scholar.google.com/citations?hl=en&user=Rs2JJvoAAAAJ,Rs2JJvoAAAAJ,"Assistant Professor, Department of Health Economics, School of Medicine, Tehran",Verified email at shahed.ac.ir,643,"Health Care Management, Financing, Health information technology",1995,2024,63,643,13,15,579,13,13
89,"Lloyd Werk, MD, MPH",https://scholar.google.com/citations?hl=en&user=_PVGhCUAAAAJ,_PVGhCUAAAAJ,Nemours,Verified email at nemours.org,640,"Pediatrics, Childhood Obesity, Quality Improvement, Medical Decision Making, Health Information Technology",1998,2024,46,640,14,18,364,10,12
90,Sara E Heins,https://scholar.google.com/citations?hl=en&user=0T9ivuAAAAAJ,0T9ivuAAAAAJ,RAND Corporation,Verified email at rand.org,631,"Injury, Health Services Research, Substance Use, Occupational Health, Health Information Technology",2013,2024,61,631,12,14,490,11,13
91,Sarah T. Corley,https://scholar.google.com/citations?hl=en&user=YPvaGM4AAAAJ,YPvaGM4AAAAJ,MITRE Corporation,Verified email at mitre.org,622,"Health Information Technology, Patient Safety, Clinical Quality Measures",2003,2024,13,622,9,7,182,5,2
92,Aaron A. Tierney,https://scholar.google.com/citations?hl=en&user=WlGD5kUAAAAJ,WlGD5kUAAAAJ,Kaiser Permanente Division of Research,Verified email at berkeley.edu,619,"Health Information Technology, Clinician Burnout",2018,2024,24,619,9,9,616,9,9
93,Willi Tarver,https://scholar.google.com/citations?hl=en&user=1gK9eOQAAAAJ,1gK9eOQAAAAJ,"Postdoctoral Fellow, Training in Research for Behavioral Oncology and Cancer Control …",Verified email at iu.edu,611,"Cancer Prevention & Control, Cancer Health Disparities, Health Information Technology",2009,2024,44,611,13,15,451,12,14
94,Ju Wang,https://scholar.google.com/citations?hl=en&user=F2dssEcAAAAJ,F2dssEcAAAAJ,Städtisches Klinikum Braunschweig,Verified email at skbs.de,579,"Medical informatics, patient safety, health information technology, clinical informatics, data",2012,2022,38,579,12,14,541,12,13
95,Cynthia Williams,https://scholar.google.com/citations?hl=en&user=FpcsUEgAAAAJ,FpcsUEgAAAAJ,University of Central Florida,Verified email at ucf.edu,566,Health Information technology,2012,2024,32,566,13,15,522,12,14
96,Nate C. Apathy,https://scholar.google.com/citations?hl=en&user=DpaI7XMAAAAJ,DpaI7XMAAAAJ,"Assistant Professor, University of Maryland School of Public Health",Verified email at umd.edu,563,"health information technology, health policy, health services research, clinical documentation",2014,2024,71,563,15,17,559,15,17
97,Ashley N. Marshall,https://scholar.google.com/citations?hl=en&user=7JPcZkcAAAAJ,7JPcZkcAAAAJ,Appalachian State University,Verified email at appstate.edu,545,"Practice-based research, Health information technology, Lower extremity injuries, Patient outcomes, Swimming",2012,2024,31,545,13,14,511,12,13
